Notice_Name,Label
NOTICE FOR SPOT ADMISSION FOR THE VACANT SEATS IN B.TECH (LATERAL ENTRY) PROGRAMME 2018-19,1
Hall Allotment of MCA Girls.,1
Hall Allotment of M.Tech Girls.,1
Notice for Branch Change,1
Hall Allotment for M.Sc Girls Students,1
Notice for B.Tech & MCA - Lateral Entry(2018),1
Notice for Prerana Scholarship,1
1st Allotment of Lateral Entry Girls Students,1
2nd Allotment of Lateral Entry Girls Students,1
Allotment of 1st Year B.Arch Students,1
Allotment of 1st Year B.Tech Boys,1
Allotment of 1st Year B.Tech Girls,1
Notice Regarding Supervisor Appointment of Ph.D,1
Notice for Re-admission 2018,1
"Counseling-cum-admission into Ph.D, M.Phil., M.Tech., M.Sc., & 5 years Int. M.Sc. Programmes 2018",1
Training & Placement Cell Registration Notice,4
Training & Placement Cell Registration Form,4
Training & Placement cell Database Correction Form,4
Provisional list of the qualified candidates in order of merit for admission into 02 years M.Tech Programme - 2018,1
Information for Admission into B.Tech (Regular & Self Sustaining) / B.Tech (Lateral Entry-All Branches) / B.Arch / MCA & MCA (Lateral Entry) and 5 Yrs Integrated B.Tech & M.Tech Programme 2018,1
Notice of Time Table of Odd Semester UG and PG Programme of the year 2018,1
"Time Table for M.Sc. , INT. M.Sc. & M.Phil",1
Time Table for B.Arch,1
Time Table for 7th Semester B.TECH / B.TECH & M.TECH Dual Degree,4
Time Table for 5th Semester B.TECH / B.TECH & M.TECH Dual Degree,1
Time Table for 3rd Semester B.TECH / B.TECH & M.TECH Dual Degree,1
"Time Table for 1ST, 3rd, 5th Semester MCA",1
Time Table for 1ST Semester M.TECH,1
Time Table for 1ST Semester B.TECH / B.TECH & M.TECH Dual Degree,1
Hostel Vacancies for 3rd Year B.Tech (Boys) Students.,1
NOTICE FOR SPOT ADMISSION FOR THE VACANT SEATS IN B.TECH (LATERAL ENTRY) PROGRAMME 2018-19,1
Hall Allotment of MCA Girls.,1
Hall Allotment of M.Tech Girls.,1
Notice for Branch Change,1
Hall Allotment for M.Sc Girls Students,1
Notice for B.Tech & MCA - Lateral Entry(2018),1
Notice for Prerana Scholarship,1
1st Allotment of Lateral Entry Girls Students,1
2nd Allotment of Lateral Entry Girls Students,1
Allotment of 1st Year B.Arch Students,1
Allotment of 1st Year B.Tech Boys,1
T&P Notice Board: Form,4
Allotment of 1st Year B.Tech Girls,1
Notice for Yodlee Placement,4
Notice Regarding Supervisor Appointment of Ph.D,1
Notice for Re-admission 2018,1
"Counseling-cum-admission into Ph.D, M.Phil., M.Tech., M.Sc., & 5 years Int. M.Sc. Programmes 2018",1
Training & Placement Cell Registration Notice,4
Training & Placement Cell Registration Form,4
Training & Placement cell Database Correction Form,4
Provisional list of the qualified candidates in order of merit for admission into 02 years M.Tech Programme - 2018,1
Information for Admission into B.Tech (Regular & Self Sustaining) / B.Tech (Lateral Entry-All Branches) / B.Arch / MCA & MCA (Lateral Entry) and 5 Yrs Integrated B.Tech & M.Tech Programme 2018,1
Notice of Time Table of Odd Semester UG and PG Programme of the year 2018,1
T&P Notice: Immidiate Submission of personal Details,4
"Time Table for M.Sc. , INT. M.Sc. & M.Phil",1
Time Table for B.Arch,1
t&p registration form,4
Time Table for 7th Semester B.TECH / B.TECH & M.TECH Dual Degree,4
Time Table for 5th Semester B.TECH / B.TECH & M.TECH Dual Degree,1
Time Table for 3rd Semester B.TECH / B.TECH & M.TECH Dual Degree,1
"Time Table for 1ST, 3rd, 5th Semester MCA",1
Final Year Notice: Farewell,4
